사업장명,서비스명,서비스아이디(ID),인허가일자,업종분류,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,영업상태,경도,위도,대표메뉴,영업시간,휴무
통막골,일반음식점,07_24_04_P,2011-06-23,음식점,053-354-3200,702-892,대구광역시 북구 서변동 1000-1번지 ,41477,대구광역시 북구 환성정길 9 (서변동),Y,128.5956503,35.92243126,"수육,해물파전","월 17:00 - 00:00, 화 17:00 - 00:00, 수 17:00 - 00:00, 목 17:00 - 00:00, 금 17:00 - 00:00, 토 17:00 - 00:00, 일 17:00 - 00:00",
처갓집양념치킨 동.서변점,일반음식점,07_24_04_P,2018-07-03,음식점,053-285-4005,702-894,대구광역시 북구 서변동 1742 ,41477,"대구광역시 북구 환성정길 7, 1층 (서변동)",Y,128.5959483,35.92244631,치킨 ,,
집밥앤포차야식,일반음식점,07_24_04_P,2014-06-23,음식점,,702-894,대구광역시 북구 서변동 1742번지 ,41477,"대구광역시 북구 환성정길 7, 1층 (서변동)",Y,128.5959483,35.92244631,"보리밥, 비빔밥",,
청도추어탕,일반음식점,07_24_04_P,2014-06-18,음식점,053-355-2683,702-894,대구광역시 북구 서변동 1742번지 ,41477,"대구광역시 북구 환성정길 7, 1층 (서변동)",Y,128.5959483,35.92244631,추어탕,,
로바타석가,일반음식점,07_24_04_P,2019-02-25,음식점,053-601-5440,702-894,대구광역시 북구 서변동 1741-7 ,41477,"대구광역시 북구 환성정길 6, 1층 (서변동)",Y,128.5960515,35.92271168,한식뷔페,"월 11:00 - 20:00, 화 11:00 - 20:00, 수 11:00 - 20:00, 목 11:00 - 20:00, 금 11:00 - 20:00, 토 11:00 - 20:00, 일 11:00 - 20:00",
더닥신청담찜닭,일반음식점,07_24_04_P,2002-02-27,음식점,053-951-9292,702-894,대구광역시 북구 서변동 1742-1번지 ,41477,대구광역시 북구 환성정길 5 (서변동),Y,128.5960924,35.92245458,찜닭,,
고향왕소금구이,일반음식점,07_24_04_P,2001-06-09,음식점,053-951-1626,702-892,대구광역시 북구 서변동 890-1 ,41477,대구광역시 북구 환성정길 35 (서변동),Y,128.5936499,35.92419153,"갈비살,삼겹살,특장","월 11:30 - 21:30, 화 11:30 - 21:30, 수 11:30 - 21:30, 목 11:30 - 21:30, 금 11:30 - 21:30, 토 11:30 - 21:30, 일 11:30 - 21:30",
네오피자동서변점,휴게음식점,07_24_05_P,2020-07-02,음식점,053-954-0063,702-894,대구광역시 북구 서변동 1742-2 ,41477,"대구광역시 북구 환성정길 3, 1층 (서변동)",Y,128.5962917,35.92245049,피자,,
뷰인마인드,일반음식점,07_24_04_P,2020-06-03,음식점,053-939-3939,702-882,대구광역시 북구 동변동 608번지 ,41412,"대구광역시 북구 화담길 95, 1층 (동변동)",Y,128.6065297,35.91770369,"커피, 디저트","월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
등나무가든,일반음식점,07_24_04_P,2006-04-05,음식점,053-951-1620,702-881,대구광역시 북구 동변동 58 ,41412,대구광역시 북구 화담길 197 (동변동),Y,128.6146993,35.92438754,"백숙, 삼계탕",,
금호가든,일반음식점,07_24_04_P,2007-06-05,음식점,053-951-1213,702-881,대구광역시 북구 동변동 72-2번지 ,41412,대구광역시 북구 화담길 169 (동변동),Y,128.6125256,35.92218033,"수육,전골,불고기,주물럭",,
처형집,일반음식점,07_24_04_P,2018-12-19,음식점,,702-881,대구광역시 북구 동변동 72-3번지 ,41412,"대구광역시 북구 화담길 147, 1층 (동변동)",Y,128.6106835,35.92155625,,,
뮤,일반음식점,07_24_04_P,2008-06-05,음식점,053-341-7576,702-851,대구광역시 북구 칠성동2가 125-7 ,41586,대구광역시 북구 호암로 8 (칠성동2가),Y,128.5913432,35.88288095,주류,,
천하대창군침산점,일반음식점,07_24_04_P,2004-06-25,음식점,,702-851,대구광역시 북구 칠성동2가 125-7번지 ,41586,대구광역시 북구 호암로 8 (칠성동2가),Y,128.5913432,35.88288095,,,
돈애반해침산칠성점,일반음식점,07_24_04_P,2009-04-17,음식점,053-353-1871,702-851,대구광역시 북구 칠성동2가 42-9 ,41586,대구광역시 북구 호암로 6 (칠성동2가),Y,128.5910622,35.8829327,"꽃목살,갈비살","월 16:00 - 01:00, 화 16:00 - 01:00, 수 16:00 - 01:00, 목 16:00 - 01:00, 금 16:00 - 01:00, 토 16:00 - 01:00, 일 16:00 - 01:00",
